Code;Name;Start Date;End Date;Code client;Holder;Signatory name;Signatory Level;Status
0000364;921-SAFRAN CONTRACT 2010-2014-WON;20091220;20141231;331011;SNECMA SERVICE;N/A;N/A;80
0000365;SAFRAN 2010-2014-SOL;20091217;20141231;331016;HISPANO SUIZA;N/A;N/A;20
0000366;SAFRAN 2010 - 2014 - VDR;20091217;20141231;331016;HISPANO SUIZA;N/A;N/A;20
0000367;LABINAL 2010-2012;20100101;20121231;300027;LABINAL;N/A;N/A;20
0000368;SAFRAN 2010-2014;20100101;20141231;331056;TECHSPACE;N/A;N/A;20
0000369;E/2003/111 - ANNEX A5 (a);20100101;20151231;300061;EADS FR AUTRES;N/A;N/A;80
0000370;E/2003/111 - ANNEX A5 (a);20100101;20151231;55292;ASTRIUM GMBH;N/A;N/A;80
0000372;E/2003/111 - ANNEX A5 (a);20100101;20151231;56216;ASTRIUM GMBH  SPACE TRANSPORTATION;N/A;N/A;80
0000371;E/2003/111 - ANNEX A5 (a);20100101;20151231;55293;ASTRIUM GMBH;N/A;N/A;80
0000373;E/2003/111 - ANNEX A5 (a);20100101;20151231;300070;PREMIUM AEROTEC GERMANY;N/A;N/A;80
0000374;E/2003/111 - ANNEX A5 (a);20100101;20151231;55741;EADS-CASA, S.A.;N/A;N/A;80
0000375;E/2003/111 - ANNEX A5 (a);20100101;20151231;300016;EADS GERMANY;N/A;N/A;80
0000381;PWA 2010;20100101;20111231;57313;PRATT & WHITNEY USA;N/A;N/A;80
0000376;E/2003/111 - ANNEX A5 (a);20100101;20151231;334007;SOGERMA;N/A;N/A;80
0000377;E/2003/111 - ANNEX A5 (a);20100101;20151231;300054;MBDA;N/A;N/A;80
0000378;E/2003/111 - ANNEX A5 (a);20100101;20151231;331080;EUROCOPTER FRANCE;N/A;N/A;80
0000379;E/2003/111 - ANNEX A5 (a);20100101;20151231;300017;EUROCOPTER GERMANY;N/A;N/A;80
0000380;E/2003/111 - ANNEX A5 (a);20100101;20151231;56301;EUROCOPTER ESPANA;N/A;N/A;80
0000382;SPIRIT CONTRACT TOR : COLLARS-see 552;20100101;20111231;57912;SPIRIT AEROSYSTEMS INC;N/A;N/A;80
0000383;E/2003/111 - ANNEX A5 (a);20100101;20151231;300061;EADS FR AUTRES;N/A;N/A;80
0000384;E/2003/111 - ANNEX A5 (a);20100101;20151231;55292;ASTRIUM GMBH;N/A;N/A;80
0000385;E/2003/111 - ANNEX A5 (a);20100101;20151231;55293;ASTRIUM GMBH;N/A;N/A;80
0000386;E/2003/111 - ANNEX A5 (a);20100101;20151231;56216;ASTRIUM GMBH  SPACE TRANSPORTATION;N/A;N/A;80
0000387;E/2003/111 - ANNEX A5 (a);20100101;20151231;300070;PREMIUM AEROTEC GERMANY;N/A;N/A;80
0000388;E/2003/111 - ANNEX A5 (a);20100101;20151231;55741;EADS-CASA, S.A.;N/A;N/A;80
0000389;E/2003/111 - ANNEX A5 (a);20100101;20151231;300016;EADS GERMANY;N/A;N/A;80
0000391;E/2003/111 - ANNEX A5 (a);20100101;20151231;300054;MBDA;N/A;N/A;80
0000390;E/2003/111 - ANNEX A5 (a);20100101;20151231;334007;SOGERMA;N/A;N/A;80
0000392;E/2003/111 - ANNEX A5 (a);20100101;20151231;331080;EUROCOPTER FRANCE;N/A;N/A;80
0000393;E/2003/111 - ANNEX A5 (a);20100101;20151231;300017;EUROCOPTER GERMANY;N/A;N/A;80
0000394;E/2003/111 - ANNEX A5 (a);20100101;20151231;56301;EUROCOPTER ESPANA;N/A;N/A;80
